Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 166.564 (49); 176.535 (51); 343.099
10-19; 261.320 (50); 259.035 (50); 520.355
20-29; 256.732 (53); 228.750 (47); 485.482
30-39; 248.127 (53); 216.711 (47); 464.838
40-49; 246.046 (54); 211.638 (46); 457.684
50-59; 207.928 (53); 186.777 (47); 394.705
60-69; 129.814 (52); 118.791 (48); 248.605
70-79;  77.548 (50);  76.187 (50); 153.735
80-89;  28.389 (53);  25.195 (47);  53.584
90+;   8.233 (69);   3.708 (31);  11.941
I alt;1.630.701 (52);1.503.327 (48);3.134.028
